state,district,crop,season,year_start,year_end,area_hectare,production,yield_per_hectare,production_unit,yield_unit
Uttar Pradesh,Amroha,Sugarcane,Kharif,2022,2023,98505.0,8187000.0,83.11,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Sweet potato,Kharif,2020,2021,56.0,699.0,12.48,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Sweet potato,Kharif,2021,2022,60.0,693.0,11.55,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Sweet potato,Kharif,2022,2023,59.0,683.0,11.58,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Urad,Kharif,2020,2021,2945.0,2515.0,0.85,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Urad,Kharif,2021,2022,3566.0,2803.0,0.79,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Urad,Kharif,2022,2023,3302.0,2387.0,0.72,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Urad,Summer,2021,2022,3.0,2.0,0.67,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Urad,Summer,2022,2023,68.0,61.0,0.9,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Wheat,Rabi,2020,2021,92094.0,370218.0,4.02,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Wheat,Rabi,2021,2022,96101.0,379407.0,3.95,tonnes,tonnes/hectare
Uttar Pradesh,Amroha,Wheat,Rabi,2022,2023,92734.0,381508.0,4.11,tonnes,tonnes/hectare
Uttar Pradesh,Auraiya,Arhar/Tur,Kharif,2020,2021,3058.0,3869.0,1.27,tonnes,tonnes/hectare
Uttar Pradesh,Auraiya,Arhar/Tur,Kharif,2021,2022,3914.0,4857.0,1.24,tonnes,tonnes/hectare
Uttar Pradesh,Auraiya,Arhar/Tur,Kharif,2022,2023,3196.0,3966.0,1.24,tonnes,tonnes/hectare
Uttar Pradesh,Auraiya,Bajra,Kharif,2020,2021,29462.0,83820.0,2.85,tonnes,tonnes/hectare
Uttar Pradesh,Auraiya,Bajra,Kharif,2021,2022,31908.0,88034.0,2.76,tonnes,tonnes/hectare
Uttar Pradesh,Auraiya,Bajra,Kharif,2022,2023,30648.0,75425.0,2.46,tonnes,tonnes/hectare
Uttar Pradesh,Auraiya,Banana,Summer,2020,2021,3.0,164.0,54.67,tonnes,tonnes/hectare
